quarter,date,revenue_m,backlog_m,book_to_bill,funded_backlog_m,next_1q_rev_m,next_4q_rev_m,conv_1q_fwd,conv_4q_fwd,conv_1q_funded_fwd
FY2015 Q4,2015-03-31,1342.946,9360.0,0.48,2691.0,1351.604,5405.737999999999,0.14440213675213676,0.577536111111111,0.5022683017465627
FY2016 Q1,2015-06-30,1351.604,9258.0,0.92,2388.0,1322.154,5476.856,0.14281205443940376,0.5915809030028084,0.5536658291457286
FY2016 Q2,2015-09-30,1322.154,12550.0,3.49,3243.0,1307.663,5549.555,0.10419625498007969,0.4421956175298805,0.4032263336416898
FY2016 Q3,2015-12-31,1307.663,12074.0,0.64,2693.0,1424.317,5646.53,0.11796562862348849,0.467660261719397,0.5288960267359821
FY2016 Q4,2016-03-31,1424.317,11814.0,0.82,2673.0,1422.722,5804.284,0.12042678178432369,0.4913055696631115,0.5322566404788627
FY2017 Q1,2016-06-30,1422.722,12016.0,1.14,2639.0,1394.853,5904.572,0.11608297270306259,0.49139247669773634,0.5285536187949982
FY2017 Q2,2016-09-30,1394.853,13644.0,2.17,3332.0,1404.638,6052.524,0.10294913515098211,0.44360334212840813,0.4215600240096038
FY2017 Q3,2016-12-31,1404.638,13527.0,0.92,2787.0,1582.071,6118.595,0.11695653138168108,0.4523246100391809,0.5676609257265877
FY2017 Q4,2017-03-31,1582.071,13592.0,1.04,2815.0,1523.01,6167.6,0.11205194231901118,0.45376692171865807,0.5410337477797513
FY2018 Q1,2017-06-30,1523.01,14069.0,1.32,2517.0,1542.805,6291.438,0.10965989053948398,0.44718444807733315,0.6129539133889551
FY2018 Q2,2017-09-30,1542.805,16685.0,2.7,3590.0,1470.709,6362.63,0.08814557986215164,0.3813383278393767,0.4096682451253482
FY2018 Q3,2017-12-31,1470.709,16671.0,0.99,2893.0,1631.076,6555.033,0.09783912182832463,0.393199748065503,0.5638008987210508
FY2018 Q4,2018-03-31,1631.076,16020.0,0.6,2685.0,1646.848,6704.037,0.10279950062421972,0.4184792134831461,0.6133512104283054
FY2019 Q1,2018-06-30,1646.848,17082.0,1.64,2810.0,1613.997,6882.365,0.09448524762908325,0.40290159231940054,0.57437615658363
FY2019 Q2,2018-09-30,1613.997,21372.0,3.66,4183.0,1663.112,7087.945000000001,0.07781733108740409,0.33164631293280933,0.3975883337317715
FY2019 Q3,2018-12-31,1663.112,20454.0,0.45,3545.0,1780.08,7274.273999999999,0.08702845409210912,0.3556406570841889,0.5021382228490832
FY2019 Q4,2019-03-31,1780.08,19321.0,0.36,3436.0,1825.176,7463.840999999999,0.0944659179131515,0.3863071787174577,0.5311920838183934
FY2020 Q1,2019-06-30,1825.176,19855.0,1.29,3195.0,1819.577,7595.118,0.09164326366154621,0.38252923696801816,0.5695076682316119
FY2020 Q2,2019-09-30,1819.577,22911.0,2.68,4383.0,1849.441,7794.725999999999,0.08072284055693772,0.3402176247217493,0.4219577914670317
FY2020 Q3,2019-12-31,1849.441,21957.0,0.48,3521.0,1969.647,7849.305,0.08970474108484765,0.3574853122011204,0.5593998863959102
FY2020 Q4,2020-03-31,1969.647,20729.0,0.38,3415.0,1956.453,7858.937999999999,0.09438241111486323,0.3791276954990592,0.5728998535871157
FY2021 Q1,2020-06-30,1956.453,23017.0,2.17,3437.0,2019.185,7891.5509999999995,0.08772581135682321,0.3428574966329235,0.5874847250509165
FY2021 Q2,2020-09-30,2019.185,24574.0,1.77,4482.0,1904.02,7978.404,0.07748107756165053,0.32466851143484987,0.4248148148148148
FY2021 Q3,2020-12-31,1904.02,23286.0,0.32,3620.0,1979.28,8104.904,0.08499871167224941,0.34805909129949325,0.5467624309392265
FY2021 Q4,2021-03-31,1979.28,24032.0,1.38,3510.0,1989.066,8363.7,0.08276739347536619,0.34802346870838885,0.5666854700854701
