agency,gross_obligated,net_obligated,num_actions,unique_awards
General Services Administration,2362959785.66,2146782472.72,568,86
Department of Defense,2349410780.27,2252388804.6,2116,574
Department of Veterans Affairs,1100696414.59,1098610494.18,97,39
Department of Health and Human Services,437110386.53,425808199.21999997,176,100
Department of the Treasury,124351700.39,115387750.81,127,49
Department of Justice,100263461.78,91543538.19,85,32
Department of Homeland Security,99482832.55,87371768.75,106,52
National Aeronautics and Space Administration,67542017.51,67257107.33,117,66
Department of Commerce,67270666.18,65833461.23,26,12
Department of Energy,60330182.26,58839476.6,67,27
