month,gross_obligated,net_obligated,num_actions,unique_awards
2025-03,740493195.72,715587826.98,360,283
2025-04,496041778.85,478857216.82,462,349
2025-05,729988279.75,714914207.98,369,293
2025-06,594064940.24,568483891.28,386,306
2025-07,829901079.1,704034151.55,519,370
2025-08,808681168.49,768362084.99,453,347
2025-09,1366074410.22,1288497891.17,677,459
2025-10,63843084.88,58155090.85,106,91
2025-11,148646276.01,141090129.56,143,116
2025-12,365394058.39,362777062.56,161,135
2026-01,476527462.32,466564432.31,121,101
2026-02,276089722.73,255734051.0,124,107
2026-03,92671729.88,92234969.22,30,30
