internal_id,Award ID,Recipient Name,Award Amount,Description,Awarding Agency,Awarding Sub Agency,Period of Performance Start Date,Period of Performance Current End Date,NAICS Code,NAICS Description,PSC Code,awarding_agency_id,agency_slug,generated_internal_id,_searched_as,Company
281082246,47QFCA21F0018,BOOZ ALLEN HAMILTON INC,1379603153.12,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).",General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFCA21F0018_4732_47QTCK18D0004_4732,Booz Allen Hamilton Inc,Booz Allen Hamilton
279969328,36C10B21N10070021,BOOZ ALLEN HAMILTON INC,1365285599.63,TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TASK ORDER - BENEFITS INTEGRATED DELIVERY,Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_36C10B21N10070021_3600_VA11816D1007_3600,Booz Allen Hamilton,Booz Allen Hamilton
279969338,36C10B21N10150056,BOOZ ALLEN HAMILTON INC,1139008033.13,"PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES (PTEMS)WHICH INCLUDES PRODUCT DELIVERY AND LIFECYCLE MANAGEMENT TO TRANSFORM VA BY TAPPING INTO EMERGING TECHNOLOGIES, CONNECTING DEVELOPERS WITH VA DATA, AND MAKING HUMAN CENTERED DESIGN (HCD).",Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_36C10B21N10150056_3600_VA11816D1015_3600,Booz Allen Hamilton Inc,Booz Allen Hamilton
279969772,36C10B22N10070023,BOOZ ALLEN HAMILTON INC,859686306.3,NEW TO - EHRM PMO IO SUPPORT,Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_36C10B22N10070023_3600_VA11816D1007_3600,Booz Allen Hamilton,Booz Allen Hamilton
279968353,36C10B19N10070015,BOOZ ALLEN HAMILTON INC,826583511.86,IGF::OT::IGF  INFORMATION TECHNOLOGY OPERATIONS AND SERVICES TRANSFORMATION SUPPORT SERVICES,Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_36C10B19N10070015_3600_VA11816D1007_3600,Booz Allen Hamilton Inc,Booz Allen Hamilton
281086592,47QFRA20F0016,BOOZ ALLEN HAMILTON INC,746401206.1,THE PURPOSE OF THIS MODIFICATION IS TO ACCEPT TRANSFER OF TASK ORDER (47QFCA18F0100) FROM FEDSIM TO GSA AAS REGION 8. THE NEW PIID IS 47QFRA20F0016.,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFRA20F0016_4732_GS00Q09BGD0019_4735,Booz Allen Hamilton,Booz Allen Hamilton
281082090,47QFCA18F0073,BOOZ ALLEN HAMILTON INC,727435601.0,"THE PURPOSE OF THIS REQUIREMENT IS TO DELIVER ENTERPRISE CLASS, INDUSTRY STANDARD, OPEN ARCHITECTURE EQUIPMENT AND SERVICES TO SUPPORT THE USG PROGRAM OFFICE, DOD PARTNERS, AND OTHER ORGANIZATIONS AS DETERMINED TO INCLUDE, BUT NOT LIMITED TO, INTERAGENCY PARTNERS, THE INTELLIGENCE COMMUNITY (IC), AND COALITION PARTNERS",General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFCA18F0073_4732_GS00Q09BGD0019_4735,Booz Allen Hamilton Inc,Booz Allen Hamilton
347650773,VA11817F10070007,BOOZ ALLEN HAMILTON INC,724839422.94,IGF::OT::IGF  TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TASK ORDER FOR ELECTRONIC HEALTH RECORD MODERNIZATION PROGRAM MANAGEMENT OFFICE SUPPORT.,Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_VA11817F10070007_3600_VA11816D1007_3600,Booz Allen Hamilton,Booz Allen Hamilton
279969339,36C10B21N10150057,BOOZ ALLEN HAMILTON INC,662730418.01,"THE CONTRACTOR SHALL PROVIDE SHIPPABLE PRODUCTS, OPERATIONS SUPPORT, AND SECURITY COMPLIANCE FOR THE HEALTH SERVICES PORTFOLIO.",Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_36C10B21N10150057_3600_VA11816D1015_3600,Booz Allen Hamilton,Booz Allen Hamilton
281084876,47QFNA21F0001,BOOZ ALLEN HAMILTON INC,646439398.93,THIS REPRESENTS AN ADMINISTRATIVE CONTINUANCE OF GSA FEDSIM TASK ORDER 47QFCA20F0009.  THIS EFFORT WILL BE ADMINISTERED BY GSA FAS REGION 1 UNDER TO NUMBER 47QFNA21F0001 BEGINNING ON THE EFFECTIVE AWARD DATE OF 1 NOVEMBER 2020.,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFNA21F0001_4732_47QTCK18D0004_4732,Booz Allen Hamilton Inc,Booz Allen Hamilton
281086674,47QFRA24F0006,BOOZ ALLEN HAMILTON INC,587367503.56,CDM DEFEND GROUP BD  BRIDGE TASK ORDER,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFRA24F0006_4732_47QTCK18D0004_4732,Booz Allen Hamilton,Booz Allen Hamilton
281082192,47QFCA20F0032,BOOZ ALLEN HAMILTON INC,557551246.68,THE JAIC REQUIRES OPEN ARCHITECTURE TECHNICAL SERVICES AND PRODUCTS (SOFTWARE AND/OR HARDWARE) ACROSS THE FULL SPECTRUM OF AI-ENABLED CAPABILITIES TO SUPPORT THE JWNMI.,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFCA20F0032_4732_47QTCK18D0004_4732,Booz Allen Hamilton Inc,Booz Allen Hamilton
281082357,47QFCA23F0014,BOOZ ALLEN HAMILTON INC,401783593.02,ENGINEERING DEVELOPMENT INTEGRATION AND TECHNOLOGYBASED SOLUTIONS EDITS,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFCA23F0014_4732_47QFCA22D0357_4732,Booz Allen Hamilton,Booz Allen Hamilton
281082397,47QFCA23F0058,BOOZ ALLEN HAMILTON INC,399628341.34,AWARD OF TASK ORDER 47QFCA23F0058 FOR DATA MODERNIZATION ACCELERATOR FOR CDC (DMAC).,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFCA23F0058_4732_47QTCK18D0004_4732,Booz Allen Hamilton Inc,Booz Allen Hamilton
291528301,75FCMC20F0004,BOOZ ALLEN HAMILTON INC,388263833.73,MARKETPLACE SYSTEM INTEGRATOR (MSI),Department of Health and Human Services,Centers for Medicare and Medicaid Services,,,,,,806.0,department-of-health-and-human-services,CONT_AWD_75FCMC20F0004_7530_HHSM500201600015I_7530,Booz Allen Hamilton,Booz Allen Hamilton
281086579,47QFRA20F0003,BOOZ ALLEN HAMILTON INC,365759287.59,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP B DEFEND B,General Services Administration,Federal Acquisition Service,,,,,,614.0,general-services-administration,CONT_AWD_47QFRA20F0003_4732_GS00Q09BGD0019_4735,Booz Allen Hamilton Inc,Booz Allen Hamilton
347650771,VA11817F10070005,BOOZ ALLEN HAMILTON INC,348959728.74,"IGF::OT::IGF  THE SUBJECT TO SHALL PROVIDE SYSTEMS ENGINEERING, DEVELOPMENT AND PRODUCTION SUPPORT SERVICES FOR BENEFITS INTEGRATION PLATFORM (BIP)",Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_VA11817F10070005_3600_VA11816D1007_3600,Booz Allen Hamilton,Booz Allen Hamilton
279968381,36C10B19N10150045,BOOZ ALLEN HAMILTON INC,320404494.76,IGF:OT:IGF HEALTH INTEGRATION AND MODERNIZATION TASK ORDER,Department of Veterans Affairs,Department of Veterans Affairs,,,,,,561.0,department-of-veterans-affairs,CONT_AWD_36C10B19N10150045_3600_VA11816D1015_3600,Booz Allen Hamilton Inc,Booz Allen Hamilton
