quarter,date,revenue_m,backlog_m,book_to_bill,funded_backlog_m,unfunded_backlog_m,priced_options_backlog_m
FY2015 Q4,2015-03-31,1342.946,9360.0,0.48,2691.0,2121.0,4548.0
FY2016 Q1,2015-06-30,1351.604,9258.0,0.92,2388.0,2493.0,4377.0
FY2016 Q2,2015-09-30,1322.154,12550.0,3.49,3243.0,2906.0,6401.0
FY2016 Q3,2015-12-31,1307.663,12074.0,0.64,2693.0,2825.0,6556.0
FY2016 Q4,2016-03-31,1424.317,11814.0,0.82,2673.0,2546.0,6595.0
FY2017 Q1,2016-06-30,1422.722,12016.0,1.14,2639.0,2873.0,6504.0
FY2017 Q2,2016-09-30,1394.853,13644.0,2.17,3332.0,3297.0,7015.0
FY2017 Q3,2016-12-31,1404.638,13527.0,0.92,2787.0,3229.0,7511.0
FY2017 Q4,2017-03-31,1582.071,13592.0,1.04,2815.0,3098.0,7679.0
FY2018 Q1,2017-06-30,1523.01,14069.0,1.32,2517.0,3243.0,8309.0
FY2018 Q2,2017-09-30,1542.805,16685.0,2.7,3590.0,3861.0,9234.0
FY2018 Q3,2017-12-31,1470.709,16671.0,0.99,2893.0,4220.0,9558.0
FY2018 Q4,2018-03-31,1631.076,16020.0,0.6,2685.0,4161.0,9174.0
FY2019 Q1,2018-06-30,1646.848,17082.0,1.64,2810.0,4140.0,10132.0
FY2019 Q2,2018-09-30,1613.997,21372.0,3.66,4183.0,4777.0,12412.0
FY2019 Q3,2018-12-31,1663.112,20454.0,0.45,3545.0,4501.0,12408.0
FY2019 Q4,2019-03-31,1780.08,19321.0,0.36,3436.0,3687.0,12198.0
FY2020 Q1,2019-06-30,1825.176,19855.0,1.29,3195.0,4351.0,12309.0
FY2020 Q2,2019-09-30,1819.577,22911.0,2.68,4383.0,5365.0,13163.0
FY2020 Q3,2019-12-31,1849.441,21957.0,0.48,3521.0,5308.0,13128.0
FY2020 Q4,2020-03-31,1969.647,20729.0,0.38,3415.0,4518.0,12796.0
FY2021 Q1,2020-06-30,1956.453,23017.0,2.17,3437.0,4734.0,14846.0
FY2021 Q2,2020-09-30,2019.185,24574.0,1.77,4482.0,6159.0,13933.0
FY2021 Q3,2020-12-31,1904.02,23286.0,0.32,3620.0,5971.0,13695.0
FY2021 Q4,2021-03-31,1979.28,24032.0,1.38,3510.0,6086.0,14436.0
FY2022 Q1,2021-06-30,1989.066,26817.0,1.3,3493.0,9029.0,14295.0
FY2022 Q2,2021-09-30,2106.038,28995.0,2.03,4917.0,9528.0,14550.0
FY2022 Q3,2021-12-31,2030.52,27761.0,0.39,4044.0,9415.0,14302.0
FY2022 Q4,2022-03-31,2238.076,29247.0,1.66,3710.0,9925.0,15612.0
FY2023 Q1,2022-06-30,2249.6,28628.0,0.72,4020.0,9991.0,14617.0
FY2023 Q2,2022-09-30,2298.976,31836.0,2.4,5475.0,10380.0,15981.0
FY2023 Q3,2022-12-31,2277.074,30048.0,0.09,4544.0,10131.0,15373.0
FY2023 Q4,2023-03-31,2433.35,31202.0,1.47,4619.0,9519.0,17064.0
FY2024 Q1,2023-06-30,2654.486,31277.0,1.03,4903.0,9045.0,17329.0
FY2024 Q2,2023-09-30,2666.282,35040.0,2.41,6282.0,10128.0,18630.0
FY2024 Q3,2023-12-31,2569.801,34321.0,0.72,5246.0,9195.0,19880.0
FY2024 Q4,2024-03-31,2771.431,33818.0,0.82,4822.0,9463.0,19533.0
FY2025 Q1,2024-06-30,2942.0,36178.0,1.72,5136.0,10119.0,20923.0
FY2025 Q2,2024-09-30,3146.0,41254.0,2.61,6612.0,10317.0,24325.0
FY2025 Q3,2024-12-31,2917.0,39413.0,0.37,5330.0,9340.0,24743.0
FY2025 Q4,2025-03-31,2975.0,37027.0,1.39,4421.0,8804.0,23802.0
FY2026 Q1,2025-06-30,2924.0,38265.0,1.42,4047.0,10441.0,23777.0
FY2026 Q2,2025-09-30,2890.0,40188.0,1.7,5440.0,10668.0,24080.0
FY2026 Q3,2025-12-31,2620.0,38456.0,0.3,4206.0,10059.0,24191.0
